	Trial	RiskType	RewardType	ResponseType	Reward	Shock	SubjID
78	79	2	2	1.0	0.51	1	6
79	80	3	1	0.0	0.33	1	6
80	81	1	2	1.0	0.42	0	6
81	82	1	3	1.0	0.69	0	6
82	83	2	3	1.0	0.72	0	6
83	84	1	1	1.0	0.12	0	6
84	85	3	2	1.0	0.55	1	6
85	86	1	1	1.0	0.21	0	6
86	87	3	2	1.0	0.47	1	6
87	88	3	1	0.0	0.12	1	6
88	89	2	1	0.0	0.17	1	6
89	90	1	2	1.0	0.64	0	6
90	91	1	1	0.0	0.05	0	6
91	92	1	3	1.0	0.85	0	6
92	93	1	1	1.0	0.29	0	6
93	94	1	3	1.0	0.77	1	6
94	95	3	1	0.0	0.17	1	6
95	96	2	3	1.0	0.78	1	6
96	97	2	2	1.0	0.43	1	6
97	98	3	3	1.0	0.65	1	6
98	99	3	3	1.0	0.73	0	6
99	100	2	1	0.0	0.3	0	6
100	101	1	3	1.0	0.9	0	6
101	102	3	1	0.0	0.26	1	6
103	104	2	1	0.0	0.08	0	6
104	105	3	3	1.0	0.9	1	6
105	106	2	2	1.0	0.6	1	6
106	107	2	2	0.0	0.35	0	6
107	108	3	2	0.0	0.6	1	6
1	2	2	1	0.0	0.13	0	7
2	3	2	3	1.0	0.91	1	7
3	4	3	1	0.0	0.15	1	7
4	5	1	2	1.0	0.61	0	7
5	6	3	1	0.0	0.31	1	7
6	7	3	3	0.0	0.79	1	7
7	8	1	1	1.0	0.1	0	7
8	9	3	2	0.0	0.58	1	7
9	10	3	2	0.0	0.36	1	7
10	11	1	3	1.0	0.82	0	7
11	12	3	1	0.0	0.22	1	7
12	13	3	3	0.0	0.87	0	7
13	14	1	2	1.0	0.45	0	7
14	15	2	3	0.0	0.7	0	7
15	16	1	1	1.0	0.27	0	7
16	17	2	2	0.0	0.4	0	7
17	18	1	1	1.0	0.18	0	7
18	19	1	3	1.0	0.74	0	7
19	20	3	2	0.0	0.52	1	7
20	21	1	1	1.0	0.34	0	7
21	22	3	3	0.0	0.7	1	7
22	23	2	2	0.0	0.65	0	7
23	24	2	2	0.0	0.49	1	7
24	25	2	2	0.0	0.57	0	7
25	26	2	1	0.0	0.22	1	7
26	27	1	2	1.0	0.4	1	7
27	28	2	1	0.0	0.27	1	7
28	29	1	3	1.0	0.88	0	7
29	30	3	1	0.0	0.09	1	7
